ID	Sample5_RIBO	Sample10_RIBO	Sample15_RIBO	Sample20_RIBO	Sample1_RIBO	Sample6_RIBO	Sample11_RIBO	Sample16_RIBO	Sample5_RNA	Sample10_RNA	Sample15_RNA	Sample20_RNA	Sample1_RNA	Sample6_RNA	Sample11_RNA	Sample16_RNA
LOC102725121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378947	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC107984841	0	0	0	0	0	0	0	0	0	1	0	3	0	1	1	0
LOC107985728	0	0	0	1	0	1	0	0	5	2	2	0	0	0	0	0
LOC107985729	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC105378949	2	2	0	0	0	2	0	0	6	7	4	4	7	14	7	13
LOC100506504	0	0	0	0	0	0	0	0	31	22	32	10	11	25	25	14
LOC105378592	0	0	0	0	0	0	0	2	2	2	1	3	3	1	2	4
LOC107985734	0	0	0	0	0	0	0	0	9	10	7	5	7	14	5	3
C1orf195	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ANO7P1		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MST1L		0	0	0	0	0	0	0	0	1	0	1	0	1	0	4	0
LOC107985103	0	0	1	0	0	0	1	0	3	1	1	1	0	0	1	0
LOC105378950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM269		0	0	0	0	0	0	0	0	0	2	1	0	2	0	3	4
LOC107983962	0	0	0	0	4	0	0	0	3	0	0	1	0	0	2	1
LOC101927844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378862	0	0	3	0	3	1	0	0	9	13	9	8	10	8	13	9
LOC101928436	0	1	0	1	0	0	0	1	3	3	2	1	7	4	2	3
LOC107985184	0	0	0	0	0	0	0	0	3	1	1	1	2	3	2	0
LINC01750	0	2	2	1	7	3	1	2	7	30	17	2	21	34	28	14
C1orf137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF7		0	0	0	0	0	0	0	0	1	2	4	1	0	1	1	3
LOC100996720	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4
LOC105369199	0	0	0	0	0	2	0	0	1	1	2	1	1	1	0	3
LOC100996721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100996318	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
LOC107985199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107983967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985108	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105369140	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
LOC388692	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0
LOC100996713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC107985109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105371215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100996741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105371303	0	0	0	0	0	0	0	0	0	1	3	4	1	2	2	0
LOC101060254	0	0	0	1	0	0	0	1	0	1	1	2	0	2	1	2
LOC100996517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100996716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC653513	4	4	8	8	6	1	1	13	23	18	20	33	30	8	34	66
LOC107983947	0	0	2	2	0	0	0	0	4	28	39	26	19	56	130	39
LOC100131107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105371448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928120	4	0	2	0	2	0	0	0	4	10	2	5	5	3	7	4
POP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC105371598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985246	0	0	2	1	1	2	1	1	3	5	1	2	3	2	9	3
LOC100505650	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC105372883	0	1	0	0	0	0	0	0	5	4	3	3	1	1	1	4
MIR205HG	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
LOC107985330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
LOC105379282	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0
LOC105373289	0	0	1	0	0	0	0	0	0	0	1	2	1	2	0	0
LOC107985355	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
LOC101060022	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0
LOC100506571	0	0	0	0	0	0	0	0	4	2	2	0	1	4	1	0
LOC101927401	0	0	0	0	0	0	0	0	1	2	0	0	1	3	2	2
BTNL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373132	3	0	2	0	2	0	0	0	6	8	3	3	13	3	4	5
LOC107983951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf229	2	0	0	0	0	0	0	0	0	4	1	0	0	2	2	1
LOC107985115	4	7	7	3	4	4	0	3	10	24	13	11	14	17	22	13
OR2W5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927262	0	0	0	0	0	0	0	0	2	2	2	3	13	3	5	8
LOC100996637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102723730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101926982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
C2orf48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985856	0	0	0	0	0	0	0	0	3	2	0	0	0	3	0	0
LOC107985792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374378	0	0	0	0	0	0	0	1	0	0	0	1	1	0	2	6
LOC107985876	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC102724965	0	0	0	0	0	0	0	0	1	8	5	5	6	0	5	2
LOC107985795	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2
LOC107984043	0	0	0	0	0	0	0	0	1	0	2	0	2	2	3	2
LOC107985770	11	18	14	12	4	5	1	0	99	184	136	62	38	67	36	8
LOC107985896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374811	2	0	3	0	0	0	0	0	0	9	16	2	0	2	15	4
LOC102724642	0	0	0	0	0	0	0	0	14	1	3	16	21	0	1	12
LOC730268	0	3	4	0	0	1	0	1	37	78	76	62	46	55	74	69
LOC107985911	1	2	9	1	0	6	2	4	28	21	20	19	25	26	23	12
LOC101060017	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
LOC101930047	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1
LOC107985799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985914	0	0	0	0	0	0	0	0	1	2	0	0	4	2	1	2
LOC107984110	0	0	0	1	0	1	1	1	20	8	14	17	15	14	10	10
LOC402096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985939	0	0	0	0	0	0	0	0	13	11	12	5	9	10	11	7
LOC105373989	12	4	1	4	67	8	2	41	15	2	5	3	56	14	16	50
LOC107985803	0	0	0	0	0	0	0	0	2	7	3	4	5	5	10	6
LOC107985778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf27A	1	0	1	1	0	0	1	0	12	14	15	16	8	21	27	15
C2orf27B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF806	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	1
LOC107985946	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC100144595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373759	0	0	0	0	2	0	0	0	2	2	2	2	2	4	2	0
LOC105373780	0	2	0	0	0	0	0	1	2	1	1	1	2	3	1	0
LOC729254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985971	2	10	11	5	5	7	1	10	6	4	4	10	11	9	22	20
LOC100130451	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	3
LOC105373926	1	0	0	0	3	0	1	0	2	2	0	1	2	3	2	0
LOC105373944	4	8	4	0	5	1	0	0	14	31	18	4	12	15	14	4
LOC100287387	2	0	1	0	2	3	0	0	8	17	14	8	12	21	29	18
LOC401040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927509	6	3	2	3	1	3	0	0	13	13	20	15	16	12	14	5
LOC107986004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHL1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC401052	0	0	0	0	0	0	0	0	4	3	5	6	7	1	5	2
FANCD2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC339862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377022	0	0	0	0	1	0	0	0	12	10	15	7	1	6	5	5
LOC101928592	0	0	0	0	0	0	0	0	28	30	27	21	20	23	22	20
PRSS43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
